Soil_Moisture,Soil_Temp,Soil_pH,Light,Nitrogen,Phosphorus,Potassium,Irrigation_Needed,Fertilizer_Type,Time_to_Irrigation_hr
45.2,27.3,6.8,950.5,180.0,70.5,260.1,0,Balanced,72.5
28.7,32.1,7.1,1100.0,95.2,80.3,240.6,1,Urea (N),0
38.5,29.4,6.5,800.0,120.5,60.2,180.0,0,Balanced,20.4
22.1,33.2,6.9,700.0,85.0,45.0,130.5,1,Urea (N),0
50.0,26.0,6.7,1200.0,200.0,100.0,300.0,0,Balanced,96.0
18.5,34.5,6.2,650.0,70.0,35.0,120.0,1,Urea (N),0
40.2,28.0,6.9,900.0,150.0,80.0,200.0,0,Balanced,24.5
25.5,31.0,7.0,1100.0,90.0,40.0,150.0,1,Urea (N),0
55.0,24.0,7.2,1300.0,220.0,120.0,350.0,0,Balanced,120.0
30.0,32.5,6.8,1000.0,100.0,50.0,160.0,1,Urea (N),0
35.0,29.0,6.5,850.0,130.0,70.0,190.0,0,Balanced,12.0
20.0,33.5,6.7,750.0,80.0,30.0,110.0,1,Urea (N),0
60.0,25.0,7.0,1400.0,250.0,130.0,400.0,0,Balanced,144.0
28.0,34.0,6.6,950.0,75.0,40.0,140.0,1,Urea (N),0
42.0,27.5,6.8,980.0,160.0,90.0,220.0,0,Balanced,28.8
23.0,33.0,6.9,720.0,85.0,45.0,125.0,1,Urea (N),0
48.0,26.5,7.1,1250.0,210.0,110.0,320.0,0,Balanced,86.4
19.5,35.0,6.5,680.0,65.0,25.0,115.0,1,Urea (N),0
36.0,28.5,6.7,870.0,140.0,75.0,180.0,0,Balanced,14.4
27.0,32.0,6.6,950.0,90.0,50.0,150.0,1,Urea (N),0
39.5,29.0,6.8,880.0,135.0,65.0,175.0,0,Balanced,18.8
24.0,33.5,6.7,710.0,80.0,35.0,120.0,1,Urea (N),0
50.5,26.0,7.0,1200.0,200.0,100.0,300.0,0,Balanced,96.2
21.0,34.0,6.5,690.0,70.0,30.0,110.0,1,Urea (N),0
44.0,27.5,6.9,950.0,160.0,80.0,210.0,0,Balanced,33.6
26.5,32.5,6.6,970.0,95.0,45.0,145.0,1,Urea (N),0
53.0,25.5,7.1,1300.0,230.0,120.0,360.0,0,Balanced,110.4
29.0,33.0,6.7,940.0,85.0,40.0,135.0,1,Urea (N),0
41.0,28.0,6.8,900.0,150.0,90.0,200.0,0,Balanced,26.4
22.5,34.5,6.5,680.0,65.0,25.0,115.0,1,Urea (N),0
46.0,26.5,6.9,1000.0,170.0,95.0,240.0,0,Balanced,38.4
25.0,33.5,6.6,720.0,80.0,35.0,130.0,1,Urea (N),0
38.0,29.5,6.8,870.0,140.0,70.0,180.0,0,Balanced,19.2
20.5,34.0,6.5,690.0,60.0,20.0,110.0,1,Urea (N),0
49.0,27.0,7.0,1150.0,210.0,110.0,320.0,0,Balanced,91.2
27.5,32.5,6.6,950.0,90.0,50.0,145.0,1,Urea (N),0
35.5,28.5,6.8,880.0,135.0,75.0,180.0,0,Balanced,14.4
23.0,33.0,6.7,710.0,75.0,35.0,125.0,1,Urea (N),0
51.0,25.5,7.1,1250.0,220.0,120.0,350.0,0,Balanced,124.8
28.0,34.0,6.6,940.0,85.0,45.0,140.0,1,Urea (N),0
